time,open,high,low,close,volume
2025-07-21 14:45:00+00:00,1.16886,1.16912,1.16864,1.16898,827.0
2025-07-21 14:50:00+00:00,1.169,1.16924,1.16868,1.16918,1141.0
2025-07-21 14:55:00+00:00,1.16921,1.16986,1.16921,1.16966,1711.0
2025-07-21 15:00:00+00:00,1.16967,1.17031,1.16958,1.1702,1335.0
2025-07-21 15:05:00+00:00,1.1702,1.1703,1.16993,1.17022,643.0
2025-07-21 15:10:00+00:00,1.17022,1.17078,1.17019,1.17054,640.0
2025-07-21 15:15:00+00:00,1.17051,1.17116,1.17048,1.17106,716.0
2025-07-21 15:20:00+00:00,1.17106,1.17168,1.17105,1.17164,732.0
2025-07-21 15:25:00+00:00,1.17163,1.17164,1.17128,1.17133,541.0
2025-07-21 15:30:00+00:00,1.17134,1.17137,1.17094,1.17112,614.0
2025-07-21 15:35:00+00:00,1.17116,1.17123,1.17088,1.17118,518.0
2025-07-21 15:40:00+00:00,1.17118,1.1712,1.17068,1.17075,583.0
2025-07-21 15:45:00+00:00,1.17074,1.17082,1.17051,1.17062,646.0
2025-07-21 15:50:00+00:00,1.17061,1.1707,1.17028,1.17034,547.0
2025-07-21 15:55:00+00:00,1.17034,1.17058,1.17018,1.17048,596.0
2025-07-21 16:00:00+00:00,1.17048,1.17048,1.17002,1.17007,727.0
2025-07-21 16:05:00+00:00,1.17008,1.17022,1.16977,1.16997,544.0
2025-07-21 16:10:00+00:00,1.16998,1.17058,1.1699,1.17022,762.0
2025-07-21 16:15:00+00:00,1.17024,1.17026,1.16955,1.16972,715.0
2025-07-21 16:20:00+00:00,1.16972,1.16995,1.16956,1.16982,408.0
2025-07-21 16:25:00+00:00,1.1698,1.17006,1.16964,1.16992,602.0
2025-07-21 16:30:00+00:00,1.16993,1.1701,1.16983,1.16998,427.0
2025-07-21 16:35:00+00:00,1.17,1.17035,1.17,1.17008,324.0
2025-07-21 16:40:00+00:00,1.17008,1.1704,1.16984,1.17028,375.0
2025-07-21 16:45:00+00:00,1.17028,1.17046,1.17024,1.17035,322.0
2025-07-21 16:50:00+00:00,1.17034,1.17052,1.16992,1.17016,388.0
2025-07-21 16:55:00+00:00,1.17016,1.1702,1.16989,1.17002,388.0
2025-07-21 17:00:00+00:00,1.17,1.17016,1.16942,1.16946,532.0
2025-07-21 17:05:00+00:00,1.16946,1.16948,1.16922,1.16931,397.0
2025-07-21 17:10:00+00:00,1.16932,1.16966,1.16931,1.16944,363.0
2025-07-21 17:15:00+00:00,1.16944,1.16948,1.16921,1.16933,230.0
2025-07-21 17:20:00+00:00,1.1693,1.16932,1.16892,1.16898,366.0
2025-07-21 17:25:00+00:00,1.16898,1.16904,1.16869,1.16896,342.0
2025-07-21 17:30:00+00:00,1.16898,1.16905,1.1686,1.1688,316.0
2025-07-21 17:35:00+00:00,1.1688,1.16928,1.16871,1.16926,247.0
2025-07-21 17:40:00+00:00,1.16928,1.1694,1.16913,1.16934,264.0
2025-07-21 17:45:00+00:00,1.16936,1.1694,1.16915,1.16929,226.0
2025-07-21 17:50:00+00:00,1.1693,1.16944,1.16916,1.16922,270.0
2025-07-21 17:55:00+00:00,1.16923,1.16935,1.16902,1.16908,426.0
2025-07-21 18:00:00+00:00,1.16908,1.16924,1.16903,1.16912,397.0
2025-07-21 18:05:00+00:00,1.16913,1.16926,1.16896,1.169,284.0
2025-07-21 18:10:00+00:00,1.16899,1.16904,1.16873,1.16882,324.0
2025-07-21 18:15:00+00:00,1.1688,1.16932,1.1688,1.16927,300.0
2025-07-21 18:20:00+00:00,1.16928,1.16944,1.16927,1.1694,191.0
2025-07-21 18:25:00+00:00,1.16941,1.16954,1.16932,1.16946,304.0
2025-07-21 18:30:00+00:00,1.16946,1.16946,1.16908,1.1691,291.0
2025-07-21 18:35:00+00:00,1.16913,1.16924,1.16895,1.16899,165.0
2025-07-21 18:40:00+00:00,1.16898,1.16899,1.1688,1.16882,206.0
2025-07-21 18:45:00+00:00,1.16881,1.16912,1.16866,1.16905,361.0
